,ZINC ID,Global Rank∗,Clustered Rank†,Energy,TC to knowns‡,Cosest neighbor among known DRD4 binders,Top-pick or not,Just from energy window,Energy window,Tested or not,Binder or not,D4 Ki(nM),D2 Ki(nM),D3 Ki(nM),cAMP EC50(nM),Inhibition (%) at 10uM,SMILES,Vendor ID,Charge from docked poses
233,ZINC000644617010,20598,5792,-61,0.35,ZINC000028958094,0,1,-61,1,0,,,,NT,36.93,C[C@H](NC[C@H](O)Cc1cccc(Cl)c1)[C@@H]1CCCCO1,Z2406593279,1
234,ZINC000672709877,20606,5820,-61,0.34,ZINC000029566894,0,1,-61,1,0,,,,NT,0.46,CN(C)C[C@H](NC(=O)NCCCn1cncn1)c1ccc(F)cc1,Z2108642662,1
235,ZINC000599506959,20604,5799,-61,0.3,ZINC000029206896,0,1,-61,1,0,,,,NT,20.83,CCOC(=O)C[C@H](O)CN1C[C@@H](O)[C@H](Oc2cnn(C)c2)C1,Z2705362028,1
236,ZINC000102930897,20694,5825,-60.99,0.26,ZINC000064447808,0,1,-61,1,0,,,,NT,-0.55,CCc1ccc(CNC(=O)CN2CCCC2(C)C)s1,Z1098875526,1
237,ZINC000248909028,20710,5842,-60.99,0.35,ZINC000003824081,0,1,-61,1,0,,,,NT,9.23,O=C(NC[C@@H](c1cccc(Cl)c1)N1CCCC1)NC[C@@H]1CC[C@@H](O)C1,Z1828049968,1
238,ZINC000340892636,20689,5830,-60.99,0.29,ZINC000013741365,0,1,-61,1,0,,,,NT,44.29,c1cn(-c2ccccc2)c(CN=c2[nH]c3ccccc3[nH]2)n1,Z1898133085,1
239,ZINC000363554822,20657,5838,-60.99,0.27,ZINC000100803071,0,1,-61,1,0,,,,NT,19.28,O=C1C[C@H](Nc2ncnc3[nH]ccc32)CN1[C@@H]1C[C@H]1c1ccccc1,Z1272650732,1
240,ZINC000418270293,20624,5829,-60.99,0.32,ZINC000062225398,0,1,-61,1,0,,,,NT,29.84,CC(C)C[C@@H](CN)NC(=O)NC[C@H]1CSc2ccccc21,Z2363031768,1
241,ZINC000614859831,20650,5834,-60.99,0.34,ZINC000101185512,0,1,-61,1,0,,,,NT,-6.53,CN(C)C[C@@H](CO)NC(=O)Cc1coc2ccc3ccccc3c12,Z2639379765,1
242,ZINC000657498570,20700,5826,-60.99,0.35,ZINC000028823869,0,1,-61,1,1,2430,>10000,>10000,NT,72.43,CC[C@@H](C)C[C@@H](CO)NCc1cc2c(cccc2C)[nH]1,Z2590356416,1
243,ZINC000662049949,20665,5827,-60.99,0.32,ZINC000005958016,0,1,-61,1,0,,,,NT,44.22,OC[C@@H](NCC1(O)CCSCC1)c1cccc(Cl)c1Cl,Z2604774996,1
244,ZINC000663449223,20662,5837,-60.99,0.31,ZINC000169345293,0,1,-61,1,0,,,,NT,36.33,CCc1ccc([C@@H](CNC(=O)N[C@@H]2COC(C)(C)C2)N(C)C)cc1,Z2611050662,1
245,ZINC000294513981,20742,5859,-60.98,0.31,ZINC000028087675,0,1,-61,1,1,3160,>10000,>10000,NT,58.55,CS[C@@H]1CN(C[C@@H](O)c2cc3ccccc3o2)C[C@H]1N1CCCC1,Z2218856748,1
246,ZINC000329185772,20790,5849,-60.98,0.29,ZINC000028009523,0,1,-61,1,0,,,,NT,-8.62,C[C@H]1CC[C@H](C)N1CC(O)=Nc1c[nH]nc1-c1ccccc1,Z1560090215,1
247,ZINC000358506216,20750,5857,-60.98,0.33,ZINC000013729994,0,1,-61,1,1,250,5880,6540,NT,91.45,OC[C@H](Cc1ccc(F)cc1)NCc1ccn(-c2ccccc2)n1,Z1583883329,1
248,ZINC000451439685,20713,5846,-60.98,0.29,ZINC000073197454,0,1,-61,1,0,,,,NT,-2,CCOCCCNC(=O)[C@@H](C)N1CC[C@@](O)(C(F)F)C1,Z2277422872,1
249,ZINC000488408504,20795,5848,-60.98,0.35,ZINC000032110480,0,1,-61,1,0,,,,NT,-5.43,C[C@@H](CC1CCOCC1)N[C@@H](C(N)=O)c1cccc(Br)c1,Z1951134148,1
250,ZINC000492588861,20776,5845,-60.98,0.34,ZINC000028869815,0,1,-61,1,0,,,,NT,39.55,CCc1ccc(/C=C/C(=O)NC[C@@H](C)N2CCCC2)o1,Z1690562726,1
251,ZINC000514779500,20736,5861,-60.98,0.35,ZINC000028821367,0,1,-61,1,0,,,,NT,15.28,Cc1cccc(CNC(=O)NCC2(N3CCOCC3)CCOCC2)c1,Z2302778988,1
252,ZINC000520702665,20749,5860,-60.98,0.34,ZINC000013813616,0,1,-61,1,0,,,,NT,-2.8,O=C(NC[C@@H](c1ccccc1)N1CCCC1)N1CCC(CCO)CC1,Z1143586522,1
253,ZINC000535008050,20726,5856,-60.98,0.31,ZINC000028568255,0,1,-61,1,1,3330,>10000,>10000,NT,63.96,COc1nc2ccccc2cc1CNC[C@@H](C)Cn1ccnc1C,Z1546755380,1
254,ZINC000540595123,20733,5853,-60.98,0.33,ZINC000000020240,0,1,-61,1,0,,,,NT,41.23,CCOc1cccc2cc([C@@H](C)NCC3(O)CCCCC3)oc21,Z1597804805,1
255,ZINC000567992445,20757,5854,-60.98,0.33,ZINC000029219497,0,1,-61,1,1,850,>10000,>10000,4820,66.81,CCC[C@H](C)[C@H](CO)NCCc1nc(-c2ccc(Cl)cc2)no1,Z2473832730,1
256,ZINC000630510616,20721,5855,-60.98,0.28,ZINC000013861473,0,1,-61,1,0,,,,NT,69.54,C[C@H]1CCCN(c2nccc(N3Cc4ccccc4C3)n2)[C@@H]1CN,Z2763601271,1
257,ZINC000163793821,88498,17661,-58,0.28,ZINC000139088621,0,1,-58,1,0,,,,NT,41.23,CC[C@@H](N[C@H](C)c1ccc(-c2ccccc2)o1)c1ccncc1,Z1441470757,1
258,ZINC000180191350,88644,17641,-58,0.33,ZINC000096910018,0,1,-58,1,0,,,,NT,-11.07,Cc1cccc(-c2[nH]ncc2CN2CC[C@@](C)(O)C2)c1,Z1569699287,1
259,ZINC000237938360,88726,17654,-58,0.32,ZINC000006018832,0,1,-58,1,1,180,5720,1070,NT,94.14,Cc1cccc(CCNCc2ccn(-c3ccccc3)n2)c1,Z1598439111,1
260,ZINC000280937772,88747,17684,-58,0.32,ZINC000027757316,0,1,-58,1,0,,,,NT,-0.01,COc1cc(NC(=O)C(=O)N2CC[C@@H]3CCN(C)C[C@@H]32)c(C)cc1C,Z1963386973,1
261,ZINC000281183080,88749,17675,-58,0.32,ZINC000022939279,0,1,-58,1,0,,,,NT,-13.73,CN(C)CC1(NC(=O)CCn2c3ccccc3n(C)c2=O)CCC1,Z1985406406,1
262,ZINC000331563561,88502,17671,-58,0.26,ZINC000028975388,0,1,-58,1,0,,,,NT,-11.14,Cc1nc(CNC(=O)C(=O)N2C[C@@H]3CCC[C@H](N)[C@@H]3C2)sc1C,Z2365984243,1
263,ZINC000346659834,88403,17664,-58,0.28,ZINC000019144216,0,1,-58,1,0,,,,NT,8.52,COCCN(C)c1ccc(CN=c2[nH]c3ccccc3[nH]2)cn1,Z1898131503,1
264,ZINC000348254305,88635,17644,-58,0.3,ZINC000028568621,0,1,-58,1,0,,,,NT,25.64,C[C@@H](Cn1cccn1)NC[C@@](C)(CO)c1ccccc1,Z2105801749,1
265,ZINC000363565214,88525,17685,-58,0.32,ZINC000000346678,0,1,-58,1,0,,,,NT,-1.43,CN(C(=O)CCc1nc(-c2ccc(F)cc2)no1)[C@H]1CCCN(C)C1,Z1260422475,1
266,ZINC000369112902,88753,17687,-58,0.34,ZINC000001639567,0,1,-58,1,0,,,,NT,-18.13,N[C@@H]1CN(C(=O)c2cnc(-c3ccncc3)s2)C[C@H]1c1ccccc1,Z2000905831,1
267,ZINC000370525145,88448,17636,-58,0.25,ZINC000013740180,0,1,-58,1,0,,,,NT,7.15,CC[C@H](C(N)=O)N1C[C@H](C(=O)OC)C2(CCC2)C1,Z1895002629,1
268,ZINC000370768181,88611,17686,-58,0.3,ZINC000006658183,0,1,-58,1,0,,,,NT,28.26,O=[N+]([O-])c1ccccc1/C=C/CN[C@@H]1CCCN(c2ccncn2)C1,Z1139555222,1
269,ZINC000375292554,88444,17668,-58,0.31,ZINC000026376257,0,1,-58,1,0,,,,NT,11.72,Fc1ccccc1-c1cnc(CN2CC[C@]3(C2)CCCOC3)o1,Z2045841009,1
