,x,y,i
70,358385,0.28293327373021476,4
71,512608,0.3018847372900914,4
72,733197,0.2996355891523502,4
73,1048711,0.29507493202277146,4
74,1500000,0.2920223682147558,4
75,10000,0.24330502964712955,5
76,14303,0.3439814318478233,5
77,20458,0.31602610030400397,5
78,29262,0.268455162104182,5
79,41854,0.2691598397554706,5
80,59865,0.32649648770677886,5
81,85626,0.275769050942114,5
82,122474,0.3081468063889319,5
83,175178,0.2807256994952045,5
84,250562,0.3065524472192022,5
85,358385,0.28293327373021476,5
86,512608,0.27931738354019553,5
87,733197,0.31047598428943,5
88,1048711,0.3003797620112332,5
89,1500000,0.2920223682147558,5
90,10000,0.2742942167427357,6
91,14303,0.25257185256584513,6
92,20458,0.31680353228507163,6
93,29262,0.268455162104182,6
94,41854,0.3184457014429418,6
95,59865,0.3033751617029939,6
96,85626,0.26494840340883136,6
97,122474,0.29583677379031503,6
98,175178,0.31602610030400397,6
99,250562,0.3003797620112332,6
100,358385,0.28815391656564643,6
101,512608,0.3026393036246571,6
102,733197,0.30579164479922694,6
103,1048711,0.29507493202277146,6
104,1500000,0.3026393036246571,6
105,10000,0.29583677379031503,7
106,14303,0.3406305752877135,7
107,20458,0.3338810521793534,7
108,29262,0.3144379772196839,7
109,41854,0.312808280232633,7
110,59865,0.3397460905071138,7
111,85626,0.2821755893529443,7
112,122474,0.28891264029048513,7
113,175178,0.28815391656564643,7
114,250562,0.2904373631731406,7
115,358385,0.29888933759833075,7
116,512608,0.29507493202277146,7
117,733197,0.28442577683825376,7
118,1048711,0.3003797620112332,7
119,1500000,0.29358450760986904,7
120,10000,0.3371737052756399,8
121,14303,0.23612937403577777,8
122,20458,0.2981264564832189,8
123,29262,0.28000439228282353,8
124,41854,0.3406305752877135,8
125,59865,0.3313720671495441,8
126,85626,0.3065524472192022,8
127,122474,0.2698645174067592,8
128,175178,0.28891264029048513,8
129,250562,0.30891488424188507,8
130,358385,0.2981264564832189,8
131,512608,0.2996355891523502,8
132,733197,0.29583677379031503,8
133,1048711,0.3136013024272247,8
134,1500000,0.2974134640513841,8
135,10000,0.29507493202277146,9
136,14303,0.3003797620112332,9
137,20458,0.30970998513161335,9
138,29262,0.3136013024272247,9
139,41854,0.29358450760986904,9
140,59865,0.28442577683825376,9
141,85626,0.26494840340883136,9
142,122474,0.3041692232451539,9
143,175178,0.2981264564832189,9
144,250562,0.2974134640513841,9
145,358385,0.28891264029048513,9
146,512608,0.3041692232451539,9
147,733197,0.29888933759833075,9
148,1048711,0.3018847372900914,9
149,1500000,0.3033751617029939,9
150,10000,0.3200473360456494,10
151,14303,0.3466224140188031,10
152,20458,0.32897221361440343,10
153,29262,0.34144126639096584,10
154,41854,0.2821755893529443,10
155,59865,0.28815391656564643,10
156,85626,0.30970998513161335,10
157,122474,0.31047598428943,10
158,175178,0.3018847372900914,10
159,250562,0.27860439110836077,10
160,358385,0.3081468063889319,10
161,512608,0.3033751617029939,10
162,733197,0.3010865183576583,10
163,1048711,0.2974134640513841,10
164,1500000,0.30891488424188507,10
165,10000,0.3041692232451539,11
166,14303,0.312808280232633,11
167,20458,0.24526316046575453,11
168,29262,0.2712863448801557,11
169,41854,0.29358450760986904,11
170,59865,0.27647996467881225,11
171,85626,0.3322274501982322,11
172,122474,0.27647996467881225,11
173,175178,0.3003797620112332,11
174,250562,0.29507493202277146,11
175,358385,0.2996355891523502,11
176,512608,0.2981264564832189,11
177,733197,0.29888933759833075,11
178,1048711,0.31047598428943,11
179,1500000,0.29432348373091066,11
180,10000,0.36992354715189923,12
181,14303,0.25659828504533194,12
182,20458,0.29358450760986904,12
183,29262,0.27647996467881225,12
184,41854,0.2677962157458974,12
185,59865,0.32243263871483424,12
186,85626,0.2771711308117133,12
187,122474,0.29507493202277146,12
188,175178,0.2974134640513841,12
189,250562,0.2807256994952045,12
190,358385,0.3018847372900914,12
191,512608,0.3081468063889319,12
192,733197,0.29507493202277146,12
193,1048711,0.3081468063889319,12
194,1500000,0.2904373631731406,12
195,10000,0.3313720671495441,13
196,14303,0.3136013024272247,13
197,20458,0.32735083140789867,13
198,29262,0.2852000907766166,13
199,41854,0.34144126639096584,13
200,59865,0.2859515390684775,13
201,85626,0.29358450760986904,13
202,122474,0.3033751617029939,13
203,175178,0.28968591488127976,13
204,250562,0.3041692232451539,13
205,358385,0.3208601058440383,13
206,512608,0.29583677379031503,13
207,733197,0.3010865183576583,13
208,1048711,0.29888933759833075,13
209,1500000,0.2996355891523502,13
210,10000,0.2728141858055159,14
211,14303,0.37349994213432414,14
212,20458,0.2981264564832189,14
213,29262,0.3041692232451539,14
214,41854,0.30970998513161335,14
215,59865,0.31047598428943,14
216,85626,0.2912158345017765,14
217,122474,0.3033751617029939,14
218,175178,0.28891264029048513,14
219,250562,0.2966692911925012,14
220,358385,0.2912158345017765,14
221,512608,0.29358450760986904,14
222,733197,0.3026393036246571,14
223,1048711,0.3033751617029939,14
224,1500000,0.3003797620112332,14
225,10000,0.3388834320254478,15
226,14303,0.33467199567880856,15
